CL.1d	CL.1d.exp	CL.3d	CL.3d.exp	AH.1d	AH.1d.exp	AH.3d	AH.3d.exp	CH.1d	CH.1d.exp	CH.3d	CH.3d.exp	Met	M12	M13	M14	M15	M21	M24	M25
K01431	-0.316180067	K05706	-0.450467989	K00814	-0.766382203	K01376	-0.766097149	K12393	-0.294901299	NA	NA	K09396	NA	K14406	NA	NA	K15261	NA	K17495
K01466	-0.376004599	K06052	-0.576710255	K00814	-0.38303593	K01392	-0.61292324	K12488	0.636950964	NA	NA	K00182	NA	K04491	NA	NA	K22530	NA	K17823
K01480	-0.43138248	K06058	0.81185496	K00826	-0.56849142	K01415	0.387685104	K12619	0.582452517	NA	NA	K23318	NA	K10277	NA	NA	K22990	NA	K17885
K01480	-0.370004625	K06058	1.1183455	K00826	-0.340126126	K01415	0.494077721	K12820	-0.349859013	NA	NA	K22866	NA	K08546	NA	NA	K04440	NA	K17926
K01490	0.585025094	K06068	0.309763197	K00827	-0.536169007	K01415	0.495627733	K12825	1.093728027	NA	NA	K04967	NA	K23407	NA	NA	K04489	NA	K18211
K01495	-0.452895133	K06084	0.791446882	K00827	-0.259779085	K01415	0.522272938	K12825	1.127583469	NA	NA	K09381	NA	K12842	NA	NA	K20703	NA	K18211
K01518	-0.544830664	K06094	0.573931071	K00831	-0.4943733	K01415	0.725572286	K12831	1.500060865	NA	NA	K10896	NA	K15333	NA	NA	K12193	NA	K18587
K01522	-0.554549518	K06106	0.830687687	K00846	-0.220796851	K01442	-0.825546502	K12840	-0.385245737	NA	NA	K05110	NA	K15333	NA	NA	K10450	NA	K18914
K01525	-0.343601068	K06115	0.702918265	K00857	-0.579029111	K01442	-0.812451259	K12841	0.854268706	NA	NA	K12567	NA	K10876	NA	NA	K11796	NA	K19402
K01527	-0.460370645	K06126	-0.247272739	K00869	-1.345504931	K01443	-0.559346861	K12866	1.205426035	NA	NA	K01077	NA	K10876	NA	NA	K02296	NA	K20096
K01527	-0.374823625	K06173	-0.374574349	K00876	-0.439855247	K01495	-0.381622459	K12968	0.620619952	NA	NA	K13856	NA	K14572	NA	NA	K11650	NA	K20225
K01530	0.28152108	K06226	-0.277938881	K00889	0.600237816	K01520	-1.091434012	K13098	0.851596785	NA	NA	K16866	NA	K15159	NA	NA	K03175	NA	K20316
K01530	0.487181589	K06236	-0.815432489	K00889	0.756903421	K01525	-0.346880704	K13126	0.584506011	NA	NA	K22371	NA	K19192	NA	NA	K03173	NA	K20349
K01530	0.709517388	K06255	-0.393137179	K00894	-0.204938955	K01527	-0.459262909	K13163	-0.569438898	NA	NA	K13748	NA	K11797	NA	NA	K01080	NA	K20369
K01556	0.462375346	K06530	-0.980705633	K00898	-0.396269517	K01527	-0.362009713	K13171	1.138264489	NA	NA	K07763	NA	K11797	NA	NA	K23852	NA	K20800
K01557	-0.559473749	K06530	-0.640659548	K00907	0.434246891	K01534	0.233768763	K13191	1.140472645	NA	NA	K06238	NA	K11492	NA	NA	K17307	NA	K20822
K01565	-0.317091965	K06530	-0.602447756	K00907	0.945557395	K01557	-0.526625175	K13191	1.222989858	NA	NA	K12231	NA	K11406	NA	NA	K10848	NA	K21456
K01647	-0.236552745	K06569	-1.839523506	K00910	0.748238438	K01581	-0.430976189	K13203	0.837768703	NA	NA	K09866	NA	K22544	NA	NA	K13163	NA	K21889
K01667	-0.529342776	K06569	-0.570361046	K00911	0.414177402	K01581	-0.391856392	K13963	-0.633649896	NA	NA	K14075	NA	K14439	NA	NA	K10104	NA	K22387
K01672	-0.498681866	K06580	-0.443126127	K00915	-0.501177749	K01611	-0.398631903	K14021	-0.46002288	NA	NA	K14616	NA	K09995	NA	NA	K23331	NA	K22614
K01796	-0.37367737	K06619	1.62825614	K00920	0.430382185	K01672	-0.612200472	K14206	0.622827627	NA	NA	K20232	NA	K17552	NA	NA	K14021	NA	K22614
K01800	-0.470113845	K06671	0.689023365	K00921	0.682076393	K01698	-0.307552652	K14290	-0.74672966	NA	NA	K17341	NA	K15259	NA	NA	K19626	NA	K22615
K01802	-0.556727936	K06679	0.779047275	K00922	-0.311549557	K01711	-0.262513719	K14295	-0.487378956	NA	NA	K14638	NA	K14650	NA	NA	K03173	NA	K22647
