Name,moduleColors,moduleID,GS.inf,GS.temp,GS.time,GS.met_Y
aug_v2a.02416,red,M10,0.088143001,-0.603182831,0.581580715,0.307805476
aug_v2a.16661,salmon,M23,0.037749583,-0.125956384,-0.124499051,-0.069784143
aug_v2a.16663,brown,M21,-0.014098301,0.274196441,-0.21853047,-0.011049898
aug_v2a.16664,blue,M11,-0.112927653,-0.599720601,-0.078503481,-0.254911834
aug_v2a.16666,greenyellow,M15,-0.056404705,-0.166127886,-0.310377282,-0.138322108
aug_v2a.16667,grey,M26,0.055479961,0.14979903,0.034275882,0.050625262
aug_v2a.16668,turquoise,M20,0.095685629,0.387937209,-0.000771078,-0.125290609
aug_v2a.16670,grey,M26,0.22226915,-0.296498333,0.01265271,0.147867119
aug_v2a.16671,red,M10,0.195917514,-0.133498412,0.369989791,0.324857016
aug_v2a.16672,brown,M21,0.146984437,-0.047145417,0.063923675,0.080400352
aug_v2a.16674,pink,M19,0.092116733,0.073293294,0.26223818,-0.022783789
aug_v2a.16676,purple,M6,0.085283232,-0.482047587,0.122684159,-0.021037418
aug_v2a.16677,red,M10,-0.206932564,-0.643667655,0.093458643,-0.146622292
aug_v2a.16678,yellow,M12,-0.331615299,-0.276193569,-0.579667361,-0.445006301
aug_v2a.16679,yellow,M12,-0.146431572,-0.099768037,-0.217208903,-0.141352534
aug_v2a.16680,brown,M21,-0.162786261,0.421383122,-0.386842297,-0.143113097
aug_v2a.02417,greenyellow,M15,-0.139349499,0.337611664,-0.522135167,-0.399012726
aug_v2a.02419,black,M24,0.555062722,-0.256739693,0.010580918,0.017114988
aug_v2a.16682,yellow,M12,-0.07703962,-0.199562982,-0.108422606,-0.270435491
aug_v2a.16683,grey60,M4,0.257654871,-0.308547003,0.432831605,0.434220293
aug_v2a.16685,brown,M21,0.084190784,0.480156013,-0.014417195,0.152141016
aug_v2a.16686,black,M24,0.026573789,-0.171591458,0.226657957,0.154737776
aug_v2a.16690,magenta,M13,-0.034883972,0.482932578,-0.338002171,-0.17790222
aug_v2a.16691,midnightblue,M17,-0.401360288,-0.32587314,-0.734218427,-0.55938239
